"","precinct","yes_votes","no_votes","perc_yes"
"110","Minneapolis W-11 P-10",351,769,31.3392857142857
"111","Minneapolis W-12 P-1",870,927,48.4140233722871
"112","Minneapolis W-12 P-2",739,912,44.7607510599637
"113","Minneapolis W-12 P-3",827,1140,42.043721403152
"114","Minneapolis W-12 P-4",441,540,44.954128440367
"115","Minneapolis W-12 P-5",562,731,43.4648105181748
"116","Minneapolis W-12 P-6",462,684,40.3141361256544
"117","Minneapolis W-12 P-7",14,23,37.8378378378378
"118","Minneapolis W-12 P-8",470,375,55.6213017751479
"119","Minneapolis W-12 P-9",586,580,50.2572898799314
"120","Minneapolis W-12 P-10",477,766,38.3748994368463
"121","Minneapolis W-12 P-11",445,604,42.4213536701621
"122","Minneapolis W-12 P-12",986,952,50.8771929824561
"123","Minneapolis W-12 P-13",313,557,35.9770114942529
"124","Minneapolis W-13 P-1",382,792,32.5383304940375
"125","Minneapolis W-13 P-2",260,688,27.4261603375527
"126","Minneapolis W-13 P-3",322,906,26.2214983713355
"127","Minneapolis W-13 P-4",385,822,31.897265948633
"128","Minneapolis W-13 P-5",309,946,24.6215139442231
"129","Minneapolis W-13 P-6",373,1201,23.6975857687421
"130","Minneapolis W-13 P-7",561,1534,26.7780429594272
"131","Minneapolis W-13 P-8",416,1023,28.9089645587213
"132","Minneapolis W-13 P-9",577,1220,32.1090706733445
"133","Minneapolis W-13 P-10",257,557,31.5724815724816
"134","Minneapolis W-13 P-11",320,988,24.4648318042813
"135","Minneapolis W-13 P-12",215,620,25.748502994012
"136","Minneapolis W-13 P-13",294,1002,22.6851851851852
