"","week.counter","week","week.first","month","season","year","dark.before.12","tmax.f","tmin.f","precip.in","snow.in","school","total","homicide","shooting","rape","robbery.carjacking","robbery.street","robbery.commercial","robbery.residence","aggravated.assault","assault.by.threat","common.assault","burglary","larceny.from.auto","larceny","auto.theft","arson","northwestern","northern","northeastern","western","central","eastern","southwestern","southern","southeastern","homicide.northwestern","homicide.northern","homicide.northeastern","homicide.western","homicide.central","homicide.eastern","homicide.southwestern","homicide.southern","homicide.southeastern","shooting.northwestern","shooting.northern","shooting.northeastern","shooting.western","shooting.central","shooting.eastern","shooting.southwestern","shooting.southern","shooting.southeastern"
"11",20,19,2010-05-10,5,2,10,3.82428571428571,68.9128571428571,52.0828571428571,0.119043631428571,0,0.714285714285714,1023,3,9,2,3,46,6,13,114,13,200,141,174,196,94,9,92,118,142,92,158,73,108,136,104,2,0,1,0,0,0,0,0,0,1,2,0,2,1,2,0,1,0
"12",21,20,2010-05-17,5,2,10,3.71857142857143,71.9214285714286,55.8371428571429,0.10161397,0,0.714285714285714,1034,3,6,7,7,54,5,6,113,20,199,144,166,200,93,11,123,109,138,86,182,81,74,131,109,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1
"13",22,21,2010-05-24,5,2,10,3.62142857142857,83.6471428571429,64.7857142857143,0.114549827142857,0,0.714285714285714,1013,7,10,3,1,70,5,9,106,13,241,127,143,186,89,3,103,110,158,91,142,64,90,133,121,0,0,0,0,0,2,3,1,1,1,1,2,2,0,0,3,1,0
"14",23,22,2010-05-31,5,2,10,3.53714285714286,89.69,69.4914285714286,0.00862203,0,0.571428571428571,988,6,9,5,2,44,6,11,140,18,196,119,113,221,89,9,106,110,156,84,124,66,92,149,100,0,0,3,2,0,0,0,1,0,0,1,2,0,2,0,1,3,0
"15",24,23,2010-06-07,6,3,10,3.47142857142857,81.9885714285714,65.0814285714286,0.0472496242857143,0,0.571428571428571,928,4,3,4,4,31,5,6,139,15,166,122,124,212,87,6,88,102,123,77,151,61,80,129,117,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0
"16",25,24,2010-06-14,6,3,10,3.41714285714286,87.4142857142857,71.5485714285714,0.0573677142857143,0,0,1013,4,14,5,0,40,5,11,132,12,181,176,123,214,93,3,96,113,124,101,140,76,79,142,142,0,0,0,2,0,1,0,1,0,1,2,3,1,0,5,0,1,1
"17",26,25,2010-06-21,6,3,10,3.38857142857143,94.55,74.3642857142857,0,0,0,951,5,11,7,5,30,9,6,131,11,188,139,118,181,103,7,90,108,119,91,141,76,80,133,113,1,0,0,0,1,0,1,0,2,1,3,0,0,2,2,0,3,0
"18",27,26,2010-06-28,6,3,10,3.38857142857143,85.9742857142857,66.7014285714286,0.00562428571428571,0,0,1035,8,13,5,8,51,10,7,128,11,157,189,143,208,88,9,123,108,141,95,121,95,107,131,114,1,0,1,1,2,3,0,0,0,2,0,0,7,0,4,0,0,0
"19",28,27,2010-07-05,7,3,10,3.41714285714286,92.2871428571429,74.2742857142857,0.0292462857142857,0,0,1012,4,13,10,2,68,16,11,112,9,160,144,167,192,99,5,108,128,133,86,131,90,91,112,133,1,1,1,0,0,1,0,0,0,2,1,2,1,2,0,1,1,3
"20",29,28,2010-07-12,7,3,10,3.47142857142857,88.0957142857143,71.8442857142857,0.725060417142857,0,0,1039,2,14,13,3,72,14,7,111,9,180,159,157,190,106,2,74,110,151,96,148,81,109,137,133,1,1,0,0,0,0,0,0,0,0,2,0,3,1,5,1,2,0
"21",30,29,2010-07-19,7,3,10,3.54571428571429,92.6214285714286,75.4571428571429,0.11145647,0,0,960,7,9,8,3,51,14,5,116,12,156,140,133,195,106,5,102,109,151,83,108,74,104,112,116,0,1,1,1,0,2,0,1,1,1,1,2,2,0,0,2,1,0
"22",31,30,2010-07-26,7,3,10,3.65,86.0128571428571,69.2857142857143,0.150027821428571,0,0,1031,7,5,10,3,70,16,4,123,12,183,171,126,194,100,7,100,98,152,93,147,68,99,131,142,2,1,1,0,0,2,1,0,0,0,0,0,3,0,0,0,1,1
"23",32,31,2010-08-02,8,3,10,3.76714285714286,86.36,71.2142857142857,0.02681097,0,0,1027,5,11,7,3,58,8,14,131,14,163,167,150,186,106,4,111,119,141,92,134,74,88,131,136,0,0,1,0,1,1,1,1,0,3,0,0,1,1,1,1,0,4
"24",33,32,2010-08-09,8,3,10,3.90714285714286,85.5885714285714,71.7928571428571,0.451956351428571,0,0,1061,7,10,2,3,90,13,19,119,8,178,152,140,194,116,10,98,122,156,78,141,97,93,138,138,1,0,1,1,0,3,0,1,0,0,1,4,0,1,2,0,1,1
"25",34,33,2010-08-16,8,3,10,4.06428571428571,84.6371428571429,70.9571428571429,0.132547541428571,0,0,1022,4,11,3,3,68,10,11,111,16,148,154,188,195,98,2,88,112,140,102,132,79,78,164,127,1,0,0,0,1,0,0,0,2,0,0,0,5,2,1,1,1,1
"26",35,34,2010-08-23,8,3,10,4.22714285714286,80.2785714285714,65.3514285714286,0.00717096428571429,0,0,1080,2,9,4,5,51,5,11,137,14,159,178,192,210,94,9,91,115,162,80,154,75,89,172,142,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,3,2,1
"27",36,35,2010-08-30,8,3,10,4.40857142857143,88.4942857142857,69.2085714285714,0,0,0.714285714285714,994,6,8,10,1,42,5,11,119,12,169,159,167,199,78,8,94,121,137,87,129,81,75,156,112,0,0,1,3,1,0,1,0,0,0,0,0,3,0,1,3,1,0
"28",37,36,2010-09-06,9,4,10,4.59571428571429,79.79,60.98,0.0778963571428572,0,0.571428571428571,896,3,8,5,2,51,12,10,105,14,161,144,142,151,84,4,84,90,118,110,98,73,80,130,113,0,1,0,1,0,0,1,0,0,0,0,1,3,1,1,1,1,0
"29",38,37,2010-09-13,9,4,10,4.78285714285714,78.08,58.7557142857143,0.0660853571428571,0,0.571428571428571,973,5,7,5,4,52,13,8,114,12,202,151,124,193,74,9,93,104,134,109,120,90,74,126,123,1,0,0,1,0,2,0,0,1,1,0,0,2,1,1,1,1,0
"30",39,38,2010-09-20,9,4,10,4.97428571428571,83.2228571428572,62.42,0.01499997,0,0.714285714285714,1049,3,12,6,5,41,4,3,120,13,208,166,145,217,96,10,110,84,141,110,122,102,98,140,141,1,0,1,0,0,1,0,0,0,4,0,2,0,0,2,1,3,0
