year,week,precip.in,snow.in,tmax.f
2016,1,0.9088945362134689,26.85,28.764251207729465
2016,2,0.7225477707006369,17,27.5
2016,3,4.77503234152652,15,24.181333333333335
2016,4,2.9359273670557715,3,25.915859030837005
2016,5,3.5479738562091505,21,23.160344827586208
2016,6,1.0195624195624196,4.95,29.641628959276016
2016,7,0.7334167709637046,12.7,27.90151515151515
2016,8,1.7315653298835705,21.5,27.252444444444443
2016,9,1.0998701298701299,10,26.692543859649124
2016,10,1.0485122897800776,0,26.070044052863437
2016,11,1.56346396965866,0,29.32775119617225
2016,12,0.7545918367346939,0,26.588425925925925
2016,13,1.8810913705583758,0,25.744811320754717
2016,14,0.42356687898089174,2,26.51121495327103
2016,15,3.208789808917197,0,24.666976744186048
2016,16,1.1551679586563308,0,26.444690265486724
2016,17,1.9431145431145431,9.9,25.045045045045047
2016,18,0.3865211810012837,0,23.201809954751134
2016,19,1.2412291933418693,0,23.368949771689497
2016,20,0.6509803921568628,0,23.1331914893617
2016,21,2.1835705045278138,0,24.197356828193833
2016,22,0.4974424552429667,0,23.208256880733945
2016,23,1.0208070617906684,0,24.196135265700484
2016,24,7.222593068035944,0,23.660633484162894
2016,25,3.071168831168831,0,22.35391304347826
2016,26,1.3198692810457515,2,23.457264957264957
2016,27,2.5987129987129984,5.1,23.296396396396396
2016,28,2.129551451187335,0,23.37520661157025
2016,29,3.626171875,0,23.85086206896552
2016,30,0.348476821192053,1,23.65349794238683
2016,31,1.4545092838196285,0,23.69878048780488
2016,32,3.7238157894736843,0,23.90875
2016,33,0.5250652741514361,0,26.55213675213675
2016,34,3.0458279845956353,0,24.504524886877828
2016,35,3.035546875,0,25.008189655172412
2016,36,0.33578811369509043,0,26.96283185840708
2016,37,0.6968337730870713,0,25.444628099173553
2016,38,5.081697612732095,0,23.84918699186992
2016,39,0.39754204398447607,0,25.415859030837005
2016,40,0.9659411011523688,0,26.22739726027397
2016,41,0.5741176470588235,0,26.00425531914894
2016,42,0.6765171503957783,0,25.099586776859503
2016,43,0.5200527704485488,0,27.002479338842978
2016,44,0.3052562417871222,0,25.444769874476986
2016,45,0.8151177199504337,14,26.97760416666667
2016,46,0.26785714285714285,1,31.350802139037434
2016,47,0.4946913580246914,0,24.94157894736842
2016,48,0.42141982864137084,0,29.511475409836066
2016,49,1.19203431372549,8.9,26.742076502732242
2016,50,5.7447400241837965,7.1,25.484302325581396
2016,51,1.5696601941747574,12.05,26.785632183908046
2016,52,3.3291666666666666,0,29.135869565217394
2017,1,4.788242574257426,20.1,30.270680628272252
2017,1,4.788242574257426,20.1,30.270680628272252
2017,2,0.9915647921760391,20.1,29.57955801104972
2017,3,2.0277777777777777,6.333333333333334,27.21988950276243
2017,4,2.2717721518987344,16.366666666666667,27.242028985507243
2017,5,10.898370927318295,33,26.286069651741293
2017,6,6.4963369963369955,33,28.15833333333333
2017,7,5.899242424242424,0,27.975480769230767
2017,8,2.946172839506173,35.1,27.84603174603175
2017,9,2.3403245942571784,32,29.32979797979798
2017,10,3.0982947624847745,0,30.516201117318435
2017,11,5.95352798053528,7.9,27.59265536723164
2017,12,2.3384418901660284,7.9,26.679166666666667
2017,13,1.6593325092707047,0,26.799476439790578
2017,14,0.9150124069478908,0,27.477319587628863
2017,15,1.8710591133004926,0,26.606914893617024
2017,16,1.1644638403990024,0,25.35252525252525
2017,17,2.104899497487437,99.1,25.790147783251236
2017,18,0.31871049304677623,0,25.529665071770335
2017,19,1.1476372924648788,0,27.486175115207374
2017,20,3.484125,0,24.3365
2017,21,1.989974293059126,1.5,23.239545454545457
2017,22,0.2295165394402036,0,23.035046728971963
2017,23,0.2327020202020202,0,23.959615384615383
2017,24,0.03737373737373738,1,23.20193236714976
2017,25,0.2293167701863354,23.366666666666667,23.927083333333336
2017,26,0.3416666666666667,20.1,22.002283105022833
2017,27,0.9211180124223602,0,21.80974358974359
2017,28,0.45484276729559747,0,20.732195121951218
2017,29,0.5691839220462851,11.95,23.73446327683616
2017,30,1.9657828282828285,0,23.703846153846154
2017,31,1.184418901660281,0,22.300460829493087
2017,32,0.7062972292191436,0,25.277184466019417
2017,33,4.001861042183623,0,24.106185567010307
2017,34,0.23658536585365852,0,24.88888888888889
2017,35,0.3687732342007435,6.1,26.229166666666668
2017,36,0.45997506234413965,0,24.586363636363636
2017,37,1.5776137761377613,0,25.18288770053476
2017,38,0.17063106796116506,0,29.092045454545456
2017,39,7.26200495049505,0,24.265104166666667
2017,40,0.8137349397590361,0,26.552941176470586
2017,41,0.59182156133829,0,26.491709844559587
2017,42,1.378998778998779,0,27.150276243093924
2017,43,1.4715151515151514,0,28.188
2017,44,1.2830024813895782,9.9,29.065284974093267
2017,45,0.25823389021479715,0,28.695679012345682
2017,46,1.2840579710144928,0,28.00581395348837
2017,47,0.8952955367913148,0,27.970760233918128
2017,48,1.1209500609013399,5.1,29.02134831460674
2017,49,2.8008403361344536,3,25.931325301204815
2017,50,0.3568965517241379,6.1,32.021390374331546
2017,51,4.964319809069212,4.1,24.616770186335405
2017,52,0.5942690058479532,0,30.826206896551724
2018,1,1.1671819262782401,1,29.796835443037974
2018,2,1.3966666666666667,4.066666666666666,29.70509554140127
2018,3,7.70723606168446,2.7,26.830519480519477
2018,4,0.8353437876960192,2,30.090588235294113
2018,5,4.951315789473684,4.0600000000000005,25.836477987421382
2018,6,0.45479616306954435,4.05,31.07439024390244
2018,7,1.2494661921708183,1,28.984615384615388
2018,8,3.6907792207792207,2,25.286462882096068
2018,9,4.7979393939393935,0,27.20057142857143
2018,10,1.667515923566879,0,29.23488372093023
