assault_incid_c,unintent_incid_c,suicide_incid_c,undeter_incid_c,legal_incid_c,combined_incid_c,zipcode,year,weekofyr,assault_tot,unintent_tot,suicide_tot,undeter_tot,legal_tot,combined_tot,assault_incid,unintent_incid,suicide_incid,undeter_incid,legal_incid,combined_incid,_chk,zippop_tag
0,0,0,0,0,0,55447,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2016,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2017,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2018,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2019,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2016,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2017,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2018,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2019,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55450,2016,35,,,,,,,,,,,,,,0
0,0,0,0,0,0,55450,2017,35,,,,,,,,,,,,,,0
0,0,0,0,0,0,55450,2018,35,,,,,,,,,,,,,,0
0,0,0,0,0,0,55450,2019,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55450,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55454,2016,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,10.339123242,0,0,0,10.339123242,55454,2017,35,0,1,0,0,0,1,0,0.0001033912,0,0,0,0.0001033912,,0
0,0,0,0,0,0,55454,2018,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55454,2019,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55454,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2016,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2017,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2018,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2019,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55458,2016,35,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55458,2017,35,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55458,2018,35,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55458,2019,35,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55458,2020,35,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55459,2016,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2017,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2018,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2019,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2020,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2016,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2017,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2018,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2019,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2020,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2016,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2017,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2018,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2019,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2020,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2016,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2017,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2018,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2019,35,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55470,2020,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2016,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2017,35,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2018,35,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55472,2019,35,,,,,,,,,,,,,,1
