date,PRCP,SNWD,TMAX
2016-01-04T00:00:00,9.08894536213469,268.5,287.64251207729467
2016-01-11T00:00:00,7.22547770700637,170,275
2016-01-18T00:00:00,47.7503234152652,150,241.81333333333333
2016-01-25T00:00:00,29.359273670557716,30,259.15859030837004
2016-02-01T00:00:00,35.479738562091505,210,231.60344827586206
2016-02-08T00:00:00,10.195624195624196,49.5,296.41628959276017
2016-02-15T00:00:00,7.334167709637046,127,279.0151515151515
2016-02-22T00:00:00,17.315653298835706,215,272.52444444444444
2016-02-29T00:00:00,10.998701298701299,100,266.92543859649123
2016-03-07T00:00:00,10.485122897800776,NA,260.7004405286344
2016-03-14T00:00:00,15.6346396965866,NA,293.2775119617225
2016-03-21T00:00:00,7.545918367346939,NA,265.88425925925924
2016-03-28T00:00:00,18.810913705583758,NA,257.4481132075472
2016-04-04T00:00:00,4.235668789808917,20,265.1121495327103
2016-04-11T00:00:00,32.08789808917197,NA,246.66976744186047
2016-04-18T00:00:00,11.551679586563308,NA,264.44690265486724
2016-04-25T00:00:00,19.43114543114543,99,250.45045045045046
2016-05-02T00:00:00,3.8652118100128368,NA,232.01809954751133
2016-05-09T00:00:00,12.412291933418693,NA,233.68949771689498
2016-05-16T00:00:00,6.509803921568627,NA,231.331914893617
2016-05-23T00:00:00,21.835705045278136,NA,241.97356828193833
2016-05-30T00:00:00,4.974424552429667,NA,232.08256880733944
2016-06-06T00:00:00,10.208070617906683,NA,241.96135265700482
2016-06-13T00:00:00,72.22593068035944,NA,236.60633484162895
2016-06-20T00:00:00,30.711688311688313,NA,223.5391304347826
2016-06-27T00:00:00,13.198692810457516,20,234.57264957264957
2016-07-04T00:00:00,25.987129987129986,51,232.96396396396398
2016-07-11T00:00:00,21.29551451187335,NA,233.7520661157025
2016-07-18T00:00:00,36.26171875,NA,238.50862068965517
2016-07-25T00:00:00,3.48476821192053,10,236.53497942386832
2016-08-01T00:00:00,14.545092838196286,NA,236.9878048780488
2016-08-08T00:00:00,37.238157894736844,NA,239.0875
2016-08-15T00:00:00,5.250652741514361,NA,265.5213675213675
2016-08-22T00:00:00,30.458279845956355,NA,245.0452488687783
2016-08-29T00:00:00,30.35546875,NA,250.08189655172413
2016-09-05T00:00:00,3.3578811369509043,NA,269.62831858407077
2016-09-12T00:00:00,6.968337730870712,NA,254.44628099173553
2016-09-19T00:00:00,50.816976127320956,NA,238.4918699186992
2016-09-26T00:00:00,3.975420439844761,NA,254.15859030837004
2016-10-03T00:00:00,9.659411011523687,NA,262.2739726027397
2016-10-10T00:00:00,5.741176470588235,NA,260.0425531914894
2016-10-17T00:00:00,6.7651715039577835,NA,250.99586776859505
2016-10-24T00:00:00,5.200527704485488,NA,270.02479338842977
2016-10-31T00:00:00,3.052562417871222,NA,254.44769874476987
2016-11-07T00:00:00,8.151177199504337,140,269.7760416666667
2016-11-14T00:00:00,2.6785714285714284,10,313.5080213903743
2016-11-21T00:00:00,4.946913580246914,NA,249.4157894736842
2016-11-28T00:00:00,4.214198286413708,NA,295.11475409836066
2016-12-05T00:00:00,11.920343137254902,89,267.42076502732243
2016-12-12T00:00:00,57.44740024183797,71,254.84302325581396
2016-12-19T00:00:00,15.696601941747574,120.5,267.85632183908046
2016-12-26T00:00:00,33.291666666666664,NA,291.35869565217394
2017-01-02T00:00:00,47.882425742574256,201,302.70680628272254
2017-01-02T00:00:00,47.882425742574256,201,302.70680628272254
2017-01-09T00:00:00,9.91564792176039,201,295.7955801104972
2017-01-16T00:00:00,20.27777777777778,63.333333333333336,272.1988950276243
2017-01-23T00:00:00,22.717721518987343,163.66666666666666,272.42028985507244
2017-01-30T00:00:00,108.98370927318295,330,262.8606965174129
2017-02-06T00:00:00,64.96336996336996,330,281.5833333333333
2017-02-13T00:00:00,58.99242424242424,NA,279.7548076923077
2017-02-20T00:00:00,29.46172839506173,351,278.46031746031747
2017-02-27T00:00:00,23.403245942571786,320,293.2979797979798
2017-03-06T00:00:00,30.982947624847746,NA,305.16201117318434
2017-03-13T00:00:00,59.5352798053528,79,275.9265536723164
2017-03-20T00:00:00,23.384418901660283,79,266.7916666666667
2017-03-27T00:00:00,16.593325092707047,NA,267.9947643979058
2017-04-03T00:00:00,9.150124069478908,NA,274.77319587628864
2017-04-10T00:00:00,18.710591133004925,NA,266.0691489361702
2017-04-17T00:00:00,11.644638403990024,NA,253.5252525252525
2017-04-24T00:00:00,21.048994974874372,991,257.90147783251234
2017-05-01T00:00:00,3.187104930467762,NA,255.29665071770336
2017-05-08T00:00:00,11.476372924648787,NA,274.86175115207374
2017-05-15T00:00:00,34.84125,NA,243.365
2017-05-22T00:00:00,19.89974293059126,15,232.39545454545456
2017-05-29T00:00:00,2.295165394402036,NA,230.35046728971963
2017-06-05T00:00:00,2.327020202020202,NA,239.59615384615384
2017-06-12T00:00:00,0.37373737373737376,10,232.01932367149757
2017-06-19T00:00:00,2.293167701863354,233.66666666666666,239.27083333333334
2017-06-26T00:00:00,3.4166666666666665,201,220.02283105022832
2017-07-03T00:00:00,9.211180124223603,NA,218.0974358974359
2017-07-10T00:00:00,4.548427672955975,NA,207.3219512195122
2017-07-17T00:00:00,5.6918392204628505,119.5,237.34463276836158
2017-07-24T00:00:00,19.657828282828284,NA,237.03846153846155
2017-07-31T00:00:00,11.84418901660281,NA,223.00460829493088
2017-08-07T00:00:00,7.062972292191436,NA,252.77184466019418
2017-08-14T00:00:00,40.01861042183623,NA,241.06185567010309
2017-08-21T00:00:00,2.3658536585365852,NA,248.88888888888889
