"","weekofyr","Schizophrenia_tot","Depress_tot","bipolar_tot","othermood_tot","anxiety_tot","OCD_tot","trauma_tot","impulse_tot","personality_tot","eating_tot","somatic_tot","suicidal_tot","misc_tot","neuro_tot","etoh_tot","opioid_tot","weed_tot","sedative_tot","stimulant_tot","halluc_tot","tobacco_tot","othersub_tot","disord_rem_tot","mh_all_tot","substance_tot","mh_minus_sub_tot","indig_mh_all_tot","black_mh_all_tot","asian_mh_all_tot","white_mh_all_tot","latin_mh_all_tot","indig_substance_tot","asian_substance_tot","black_substance_tot","white_substance_tot","latin_substance_tot","indig_mh_minus_sub_tot","asian_mh_minus_sub_tot","black_mh_minus_sub_tot","white_mh_minus_sub_tot","latin_mh_minus_sub_tot","total_pop","na_pop","white_pop","black_pop","asian_pop","hisp_pop","Schizophrenia_incid_c","Depress_incid_c","bipolar_incid_c","othermood_incid_c","anxiety_incid_c","OCD_incid_c","trauma_incid_c","impulse_incid_c","personality_incid_c","eating_incid_c","somatic_incid_c","suicidal_incid_c","misc_incid_c","neuro_incid_c","etoh_incid_c","opioid_incid_c","weed_incid_c","sedative_incid_c","stimulant_incid_c","halluc_incid_c","tobacco_incid_c","othersub_incid_c","disord_rem_incid_c","mh_all_incid_c","substance_incid_c","indig_mh_all_incid_c","asian_mh_all_incid_c","black_mh_all_incid_c","white_mh_all_incid_c","latin_mh_all_incid_c","indig_substance_incid_c","asian_substance_incid_c","black_substance_incid_c","white_substance_incid_c","latin_substance_incid_c","indig_mh_minus_sub_incid_c","asian_mh_minus_sub_incid_c","black_mh_minus_sub_incid_c","white_mh_minus_sub_incid_c","latin_mh_minus_sub_incid_c","year"
"11",11,201,609,145,55,581,14,161,35,78,20,12,169,22,122,486,85,117,13,97,1,1,73,49,1791,873,918,9,44,9,229,22,6,1,19,79,8,3,8,25,150,14,1068398,8497,759820,150299,75340,81680,0.188132138023471,0.57001229878753,0.135717213997031,0.0514789432402532,0.543804836774311,0.0131037310066099,0.150692906576014,0.0327593275165247,0.0730065013225409,0.0187196157237284,0.0112317694342371,0.158180752865505,0.0205915772961013,0.114189655914743,0.454886662086601,0.0795583668258458,0.109509751983811,0.0121677502204235,0.0907901362600829,0.000935980786186421,0.000935980786186421,0.0683265973916087,0.0458630585231346,1.67634158805988,0.817111226340746,1.05919736377545,0.119458455003982,0.292749785427714,0.301387170645679,0.269343780607248,0.7061315758503,0.0132731616671091,0.126414680071058,0.10397199336685,0.0979431929480901,0.35306578792515,0.106185293336873,0.166335105356656,0.197415177278829,0.171400587659158,2016
"12",12,183,615,127,31,615,17,193,36,88,10,5,147,24,132,445,108,131,21,119,5,3,81,37,1778,913,865,6,53,5,257,26,7,1,34,110,6,-1,4,19,147,20,1068398,8497,759820,150299,75340,81680,0.171284483872115,0.575628183504649,0.118869559845675,0.0290154043717791,0.575628183504649,0.0159116733651692,0.180644291733979,0.0336953083027112,0.0823663091844051,0.00935980786186421,0.00467990393093211,0.137589175569404,0.0224635388684741,0.123549463776608,0.416511449852957,0.101085924908133,0.122613482990421,0.0196555965099148,0.111381713556184,0.00467990393093211,0.00280794235855926,0.0758144436811001,0.0346312890888976,1.66417383783946,0.854550457788203,0.7061315758503,0.0663658083355455,0.35263042335611,0.338238003737727,0.318315377081293,0.82382017182535,0.0132731616671091,0.226215743285052,0.144771130004475,0.0734573947110676,-0.11768859597505,0.0530926466684364,0.126414680071058,0.193466873733253,0.244857982370225,2016
"13",13,161,656,140,34,580,17,169,30,70,14,15,153,19,127,532,98,121,16,100,2,1,90,37,1794,960,834,7,45,4,287,15,6,0,27,116,7,1,4,18,171,8,1068398,8497,759820,150299,75340,81680,0.150692906576014,0.614003395738292,0.131037310066099,0.0318233467303383,0.542868855988124,0.0159116733651692,0.158180752865505,0.0280794235855926,0.0655186550330495,0.0131037310066099,0.0140397117927963,0.143205060286522,0.017783634937542,0.118869559845675,0.497941778251176,0.0917261170462693,0.113253675128557,0.0149756925789827,0.0935980786186421,0.00187196157237284,0.000935980786186421,0.0842382707567779,0.0346312890888976,1.67914953041844,0.898541554738964,0.82382017182535,0.0530926466684364,0.29940318964198,0.377721039193493,0.183643486777669,0.7061315758503,0,0.179641913785188,0.152667737095628,0.0857002938295788,0.11768859597505,0.0530926466684364,0.119761275856792,0.225053302097865,0.0979431929480901,2016
"14",14,203,661,136,54,597,11,157,36,75,19,6,173,22,118,568,103,105,22,112,6,2,90,38,1879,1008,871,5,42,6,277,21,4,1,30,94,12,1,5,12,183,9,1068398,8497,759820,150299,75340,81680,0.190004099595843,0.618683299669224,0.127293386921353,0.0505429624540667,0.558780529353293,0.0102957886480506,0.146948983431268,0.0336953083027112,0.0701985589639816,0.017783634937542,0.00561588471711853,0.161924676010251,0.0205915772961013,0.110445732769998,0.531637086553887,0.0964060209772014,0.0982779825495742,0.0205915772961013,0.104829848052879,0.00561588471711853,0.00187196157237284,0.0842382707567779,0.035567269875084,1.75870789724429,0.943468632475913,0.58844297987525,0.0796389700026546,0.279442976999182,0.364560027374905,0.257100881488736,0.4707543839002,0.0132731616671091,0.199602126427987,0.123713511094733,0.146914789422135,0.11768859597505,0.0663658083355455,0.0798408505711948,0.240846516280172,0.110186092066601,2016
"15",15,182,612,103,59,550,12,146,37,60,13,4,170,21,102,519,85,115,19,104,8,2,91,39,1795,944,851,5,47,5,247,26,5,2,20,95,8,0,3,27,152,18,1068398,8497,759820,150299,75340,81680,0.170348503085929,0.57282024114609,0.0964060209772014,0.0552228663849988,0.514789432402532,0.0112317694342371,0.136653194783217,0.0346312890888976,0.0561588471711853,0.0121677502204235,0.00374392314474568,0.159116733651692,0.0196555965099148,0.095470040191015,0.485774028030753,0.0795583668258458,0.107637790411438,0.017783634937542,0.0973420017633878,0.00748784628949137,0.00187196157237284,0.0851742515429643,0.0365032506612704,1.68008551120463,0.883565862159982,0.58844297987525,0.0663658083355455,0.312709998070513,0.325076991919139,0.318315377081293,0.58844297987525,0.0265463233342182,0.133068084285325,0.125029612276592,0.0979431929480901,0,0.0398194850013273,0.179641913785188,0.200047379642547,0.220372184133203,2016
"16",16,176,687,125,34,600,14,192,43,100,16,10,191,26,134,509,116,130,15,103,7,3,103,44,1868,987,881,11,58,3,275,26,11,0,35,107,17,0,3,23,168,9,1068398,8497,759820,150299,75340,81680,0.16473261836881,0.643018800110071,0.116997598273303,0.0318233467303383,0.561588471711853,0.0131037310066099,0.179708310947793,0.0402471738060161,0.0935980786186421,0.0149756925789827,0.00935980786186421,0.178772330161606,0.024335500440847,0.12542142534898,0.476414220168888,0.108573771197625,0.121677502204235,0.0140397117927963,0.0964060209772014,0.00655186550330495,0.00280794235855926,0.0964060209772014,0.0411831545922025,1.74841210859623,0.923813035965998,1.29457455572555,0.0398194850013273,0.385897444427441,0.361927825011187,0.318315377081293,1.29457455572555,0,0.232869147499318,0.140822826458898,0.208129285014691,0,0.0398194850013273,0.153028296928123,0.221104998552289,0.110186092066601,2016
"17",17,187,555,147,55,536,14,169,39,98,11,11,169,33,103,492,124,114,21,106,3,3,88,35,1748,952,796,8,54,7,232,13,7,0,35,96,7,1,7,19,136,6,1068398,8497,759820,150299,75340,81680,0.175028407016861,0.519469336333464,0.137589175569404,0.0514789432402532,0.501685701395922,0.0131037310066099,0.158180752865505,0.0365032506612704,0.0917261170462693,0.0102957886480506,0.0102957886480506,0.158180752865505,0.0308873659441519,0.0964060209772014,0.460502546803719,0.116061617487116,0.106701809625252,0.0196555965099148,0.0992139633357606,0.00280794235855926,0.00280794235855926,0.0823663091844051,0.0327593275165247,1.63609441425386,0.891053708449473,0.9415087678004,0.0929121316697637,0.359283827570376,0.305335474191256,0.159157688540646,0.82382017182535,0,0.232869147499318,0.126345713458451,0.0857002938295788,0.11768859597505,0.0929121316697637,0.126414680071058,0.178989760732805,0.0734573947110676,2016
"18",18,182,607,153,53,553,12,163,29,98,16,10,152,20,116,593,106,138,16,143,6,0,115,42,1863,1117,746,10,54,4,242,18,9,2,24,90,7,1,2,30,152,11,1068398,8497,759820,150299,75340,81680,0.170348503085929,0.568140337215158,0.143205060286522,0.0496069816678803,0.517597374761091,0.0112317694342371,0.152564868148387,0.0271434427994062,0.0917261170462693,0.0149756925789827,0.00935980786186421,0.142269079500336,0.0187196157237284,0.108573771197625,0.555036606208548,0.0992139633357606,0.129165348493726,0.0149756925789827,0.133845252424658,0.00561588471711853,0,0.107637790411438,0.0393111930198297,1.7437322046653,1.04549053817023,1.1768859597505,0.0530926466684364,0.359283827570376,0.318496486009844,0.220372184133203,1.05919736377545,0.0265463233342182,0.15968170114239,0.118449106367298,0.0857002938295788,0.11768859597505,0.0265463233342182,0.199602126427987,0.200047379642547,0.134671890303624,2016
"19",19,170,636,135,64,582,12,200,35,81,13,5,160,28,110,599,114,104,22,106,4,2,95,38,1884,1046,838,7,50,8,265,24,9,1,24,122,9,-2,7,26,143,15,1068398,8497,759820,150299,75340,81680,0.159116733651692,0.595283780014564,0.126357406135167,0.059902770315931,0.544740817560497,0.0112317694342371,0.187196157237284,0.0327593275165247,0.0758144436811001,0.0121677502204235,0.00467990393093211,0.149756925789827,0.0262074620132198,0.102957886480506,0.560652490925666,0.106701809625252,0.0973420017633878,0.0205915772961013,0.0992139633357606,0.00374392314474568,0.00187196157237284,0.08891817468771,0.035567269875084,1.76338780117522,0.979035902350996,0.82382017182535,0.106185293336873,0.332670210713311,0.348766813192598,0.29382957884427,1.05919736377545,0.0132731616671091,0.15968170114239,0.160564344186781,0.110186092066601,-0.2353771919501,0.0929121316697637,0.172988509570922,0.188202469005817,0.183643486777669,2016
"20",20,195,634,165,61,545,15,190,36,77,7,14,160,33,98,582,106,122,18,107,1,4,106,32,1865,1046,819,8,53,7,277,15,9,1,33,119,10,-1,6,20,158,5,1068398,8497,759820,150299,75340,81680,0.182516253306352,0.593411818442191,0.15443682972076,0.0570948279573717,0.5101095284716,0.0140397117927963,0.17783634937542,0.0336953083027112,0.0720705205363544,0.00655186550330495,0.0131037310066099,0.149756925789827,0.0308873659441519,0.0917261170462693,0.544740817560497,0.0992139633357606,0.114189655914743,0.0168476541513556,0.100149944121947,0.000935980786186421,0.00374392314474568,0.0992139633357606,0.0299513851579655,1.74560416623768,0.979035902350996,0.9415087678004,0.0929121316697637,0.35263042335611,0.364560027374905,0.183643486777669,1.05919736377545,0.0132731616671091,0.219562339070786,0.156616040641205,0.122428991185113,-0.11768859597505,0.0796389700026546,0.133068084285325,0.2079439867337,0.0612144955925563,2016
"21",21,174,645,138,43,553,8,181,30,88,17,7,165,32,123,536,121,105,20,100,3,5,85,55,1863,976,887,10,39,5,246,21,11,1,23,90,12,-1,4,16,156,9,1068398,8497,759820,150299,75340,81680,0.162860656796437,0.603707607090242,0.129165348493726,0.0402471738060161,0.517597374761091,0.00748784628949137,0.169412522299742,0.0280794235855926,0.0823663091844051,0.0159116733651692,0.00655186550330495,0.15443682972076,0.0299513851579655,0.11512563670093,0.501685701395922,0.113253675128557,0.0982779825495742,0.0187196157237284,0.0935980786186421,0.00280794235855926,0.00467990393093211,0.0795583668258458,0.0514789432402532,1.7437322046653,0.913517247317947,1.1768859597505,0.0663658083355455,0.259482764356383,0.32376089073728,0.257100881488736,1.29457455572555,0.0132731616671091,0.153028296928123,0.118449106367298,0.146914789422135,-0.11768859597505,0.0530926466684364,0.10645446742826,0.205311784369982,0.110186092066601,2016
"22",22,179,533,120,34,498,10,151,24,63,6,6,140,23,116,509,96,115,14,98,7,2,78,31,1657,920,737,7,42,4,239,17,3,1,29,84,5,4,3,13,155,12,1068398,8497,759820,150299,75340,81680,0.167540560727369,0.498877759037362,0.112317694342371,0.0318233467303383,0.466118431520838,0.00935980786186421,0.14133309871415,0.0224635388684741,0.0589667895297445,0.00561588471711853,0.00561588471711853,0.131037310066099,0.0215275580822877,0.108573771197625,0.476414220168888,0.0898541554738964,0.107637790411438,0.0131037310066099,0.0917261170462693,0.00655186550330495,0.00187196157237284,0.0730065013225409,0.0290154043717791,1.5509201627109,0.861102323291507,0.82382017182535,0.0530926466684364,0.279442976999182,0.314548182464268,0.208129285014691,0.35306578792515,0.0132731616671091,0.192948722213721,0.110552499276144,0.0612144955925563,0.4707543839002,0.0398194850013273,0.086494254785461,0.203995683188123,0.146914789422135,2016
"23",23,205,651,137,51,559,8,173,31,56,7,13,167,24,119,584,134,128,16,117,5,3,108,44,1885,1096,789,12,49,9,269,15,11,2,38,114,15,1,7,11,155,0,1068398,8497,759820,150299,75340,81680,0.191876061168216,0.60932349180736,0.12822936770754,0.0477350200955075,0.523213259478209,0.00748784628949137,0.161924676010251,0.0290154043717791,0.0524149240264396,0.00655186550330495,0.0121677502204235,0.156308791293132,0.0224635388684741,0.111381713556184,0.54661277913287,0.12542142534898,0.119805540631862,0.0149756925789827,0.109509751983811,0.00467990393093211,0.00280794235855926,0.101085924908133,0.0411831545922025,1.7643237819614,1.02583494166032,1.4122631517006,0.119458455003982,0.326016806499045,0.354031217920034,0.183643486777669,1.29457455572555,0.0265463233342182,0.252829360142117,0.15003553473191,0.183643486777669,0.11768859597505,0.0929121316697637,0.0731874463569285,0.203995683188123,0,2016
"24",24,211,623,162,49,567,6,190,26,89,6,8,182,28,138,572,125,130,16,100,5,1,110,41,1921,1059,862,11,39,4,270,13,5,0,33,94,11,6,4,6,176,2,1068398,8497,759820,150299,75340,81680,0.197491945885335,0.58311602979414,0.1516288873622,0.0458630585231346,0.530701105767701,0.00561588471711853,0.17783634937542,0.024335500440847,0.0833022899705915,0.00561588471711853,0.00748784628949137,0.170348503085929,0.0262074620132198,0.129165348493726,0.535381009698633,0.116997598273303,0.121677502204235,0.0149756925789827,0.0935980786186421,0.00467990393093211,0.000935980786186421,0.102957886480506,0.0383752122336433,1.79801909026412,0.99120365257142,1.29457455572555,0.0530926466684364,0.259482764356383,0.355347319101893,0.159157688540646,0.58844297987525,0,0.219562339070786,0.123713511094733,0.134671890303624,0.7061315758503,0.0530926466684364,0.0399204252855974,0.23163380800716,0.0244857982370225,2016
"25",25,168,548,143,37,487,14,151,22,70,6,5,152,25,97,518,100,116,18,93,6,3,90,38,1690,944,746,11,34,5,231,14,12,1,24,68,9,-1,4,10,163,5,1068398,8497,759820,150299,75340,81680,0.157244772079319,0.512917470830159,0.133845252424658,0.0346312890888976,0.455822642872787,0.0131037310066099,0.14133309871415,0.0205915772961013,0.0655186550330495,0.00561588471711853,0.00467990393093211,0.142269079500336,0.0233995196546605,0.0907901362600829,0.484838047244566,0.0935980786186421,0.108573771197625,0.0168476541513556,0.0870462131153372,0.00561588471711853,0.00280794235855926,0.0842382707567779,0.035567269875084,1.58180752865505,0.883565862159982,1.29457455572555,0.0663658083355455,0.226215743285052,0.304019373009397,0.171400587659158,1.4122631517006,0.0132731616671091,0.15968170114239,0.0894948803664026,0.110186092066601,-0.11768859597505,0.0530926466684364,0.0665340421426623,0.214524492642994,0.0612144955925563,2016
"26",26,156,503,119,37,460,7,133,22,67,7,7,140,22,83,531,96,97,13,86,6,1,89,37,1604,920,684,12,25,5,229,21,9,0,15,75,11,3,5,10,154,10,1068398,8497,759820,150299,75340,81680,0.146013002645082,0.47079833545177,0.111381713556184,0.0346312890888976,0.430551161645754,0.00655186550330495,0.124485444562794,0.0205915772961013,0.0627107126744902,0.00655186550330495,0.00655186550330495,0.131037310066099,0.0205915772961013,0.077686405253473,0.49700579746499,0.0898541554738964,0.0907901362600829,0.0121677502204235,0.0804943476120322,0.00561588471711853,0.000935980786186421,0.0833022899705915,0.0346312890888976,1.50131318104302,0.861102323291507,1.4122631517006,0.0663658083355455,0.166335105356656,0.301387170645679,0.257100881488736,1.05919736377545,0,0.0998010632139934,0.0987075886394146,0.134671890303624,0.35306578792515,0.0663658083355455,0.0665340421426623,0.202679582006265,0.122428991185113,2016
"27",27,167,543,123,52,524,8,165,27,86,12,4,167,25,106,604,106,105,16,114,3,2,104,36,1713,1055,658,13,44,4,218,23,15,4,32,97,14,-2,0,12,121,9,1068398,8497,759820,150299,75340,81680,0.156308791293132,0.508237566899227,0.11512563670093,0.0486710008816939,0.490453931961685,0.00748784628949137,0.15443682972076,0.0252714812270334,0.0804943476120322,0.0112317694342371,0.00374392314474568,0.156308791293132,0.0233995196546605,0.0992139633357606,0.565332394856598,0.0992139633357606,0.0982779825495742,0.0149756925789827,0.106701809625252,0.00280794235855926,0.00187196157237284,0.0973420017633878,0.0336953083027112,1.60333508673734,0.987459729426674,1.52995174767565,0.0530926466684364,0.292749785427714,0.286910057645232,0.281586679725759,1.76532893962575,0.0530926466684364,0.212908934856519,0.12766181464031,0.171400587659158,-0.2353771919501,0,0.0798408505711948,0.159248243004922,0.110186092066601,2016
